node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
55016,340,10,16,0,0,0,0,1,bridge
55021,1,1,1,0,0,0,0,1,bridge
55030,4591,35,60,3,1,0,0,1,bridge
55041,52,4,7,3,0,0,0,1,bridge
55042,81,5,8,0,0,0,0,1,bridge
55053,78,4,8,0,0,0,0,1,bridge
55054,106,3,10,0,1,0,0,1,bridge
55067,54,2,7,0,1,0,0,1,bridge
55073,426,12,19,0,1,0,0,1,bridge
55074,801,12,28,3,0,0,0,1,bridge
55075,3,1,1,3,0,0,0,1,bridge
55083,25,3,5,0,0,0,0,1,bridge
55089,201,8,13,2,0,1,0,1,bridge
55104,131,4,11,3,0,0,0,1,bridge
55107,4,1,2,0,0,1,0,1,bridge
55108,57,5,7,3,0,0,0,1,bridge
55115,52,4,7,3,1,1,0,1,bridge
55116,5,2,2,1,0,1,0,1,bridge
55120,3703,34,59,0,0,0,0,1,bridge
55121,47,4,6,0,0,0,0,1,bridge
55122,2535,29,47,0,0,0,0,1,bridge
55123,54,5,7,3,0,1,0,1,bridge
55126,1851,22,38,3,0,0,0,1,bridge
